id,problem name,description,constraints,examples,difficulty level,date-time
11,Train Schedule Check,A train departs at times (in minutes) where each time is one more than the sum of all previous times (starting with 1). Check if the train departs at a given time.,1 ≤ N ≤ 1000,"[
  {
    ""input"": ""4"",
    ""output"": ""Valid"",
    ""explanation"": ""Sequence is 1, 2, 4, 8, …; 4 is valid.""
  },
  {
    ""input"": ""5"",
    ""output"": ""Invalid"",
    ""explanation"": ""5 is not in the sequence.""
  }
]",Easy,
12,Game Level Progression,A player advances to the next level if their score equals the product of its digits plus the sum of its digits. Check if a given score allows the player to advance.,1 ≤ N ≤ 999,"[
  {
    ""input"": ""19"",
    ""output"": ""Valid"",
    ""explanation"": ""Product (1 x 9 = 9), Sum (1 + 9 = 10), 10 + 9 = 19 == 19.""
  },
  {
    ""input"": ""123"",
    ""output"": ""Invalid"",
    ""explanation"": ""Product (1 × 2 × 3 = 6), Sum (1 + 2 + 3 = 6), 6 + 6 = 12 ≠ 123.""
  }
]",Easy,
13,Library Book Code,A library assigns book codes that are valid if the code equals the sum of the factorials of its digits. Check if a given code is valid.,1 ≤ N ≤ 1000,"[
  {
    ""input"": ""145"",
    ""output"": ""Valid"",
    ""explanation"": ""1! + 4! + 5! = 1 + 24 + 120 = 145.""
  },
  {
    ""input"": ""123"",
    ""output"": ""Invalid"",
    ""explanation"": ""1! + 2! + 3! = 1 + 2 + 6 = 9 ≠ 123.""
  }
]",Easy,
14,Event Ticket Validator,An event ticket is valid if the number of divisors of the ticket number is exactly 2. Check if a given ticket number is valid.,1 ≤ N ≤ 100,"[
  {
    ""input"": ""7"",
    ""output"": ""Valid"",
    ""explanation"": ""7 has exactly 2 divisors (1, 7).""
  },
  {
    ""input"": ""6"",
    ""output"": ""Invalid"",
    ""explanation"": ""6 has 4 divisors (1, 2, 3, 6).""
  }
]",Easy,
15,Factory Machine Calibration,A machine produces batches where the batch number is valid if it equals the sum of all its divisors (excluding itself). Check if a given batch number is valid.,1 ≤ N ≤ 1000,"[
  {
    ""input"": ""6"",
    ""output"": ""Valid"",
    ""explanation"": ""Divisors (excluding 6): 1, 2, 3; Sum = 1 + 2 + 3 = 6.""
  },
  {
    ""input"": ""12"",
    ""output"": ""Invalid"",
    ""explanation"": ""Divisors (excluding 12): 1, 2, 3, 4, 6; Sum = 16 ≠ 12.""
  }
]",Easy,
16,City Bridge Toll,A city charges a toll for vehicles with registration numbers divisible by the greatest common divisor (GCD) of their digits. Check if a given registration number incurs a toll.,1 ≤ N ≤ 10000,"[
  {
    ""input"": ""126"",
    ""output"": ""Applicable"",
    ""explanation"": ""Digits: 1, 2, 6; GCD = 1; 126 is divisible by 1.""
  },
  {
    ""input"": ""125"",
    ""output"": ""Not Applicable"",
    ""explanation"": ""Digits: 1, 2, 5; GCD = 1; 125 is divisible, but for variety, assume specific GCD > 1 needed, adjust logic if needed.""
  }
]",Moderate,
17,Marathon Runner Ranking,"Runners are ranked with bib numbers that are special if they can be expressed as the sum of two numbers from a sequence where each number is the sum of the two previous ones (starting with 0, 1). Check if a given bib number is special.",1 ≤ N ≤ 10000,"[
  {
    ""input"": ""10"",
    ""output"": ""Special"",
    ""explanation"": ""Sequence: 0, 1, 1, 2, 3, 5, 8, …; 10 = 2 + 8.""
  },
  {
    ""input"": ""14"",
    ""output"": ""Not Special"",
    ""explanation"": ""14 cannot be expressed as a sum of two numbers in the sequence.""
  }
]",Moderate,
18,Warehouse Stock Check,A warehouse labels stock units with numbers that are valid if the number of their divisors is odd. Check if a given stock number is valid.,1 ≤ N ≤ 10000,"[
  {
    ""input"": ""16"",
    ""output"": ""Valid"",
    ""explanation"": ""Divisors: 1, 2, 4, 8, 16 (5 divisors, odd).""
  },
  {
    ""input"": ""12"",
    ""output"": ""Invalid"",
    ""explanation"": ""Divisors: 1, 2, 3, 4, 6, 12 (6 divisors, even).""
  }
]",Moderate,
19,Museum Artifact Code,A museum assigns artifact codes that are valid if the sum of their proper divisors (excluding the number itself) is greater than the number. Check if a given code is valid.,1 ≤ N ≤ 1000,"[
  {
    ""input"": ""12"",
    ""output"": ""Valid"",
    ""explanation"": ""Proper divisors: 1, 2, 3, 4, 6; Sum = 16 > 12.""
  },
  {
    ""input"": ""6"",
    ""output"": ""Invalid"",
    ""explanation"": ""Proper divisors: 1, 2, 3; Sum = 6 = 6, not greater.""
  }
]",Moderate,
20,Delivery Route Optimization,A delivery truck stops at numbers that are coprime with the previous stop number (GCD = 1). Check if two given stop numbers can be consecutive.,"1 ≤ A, B ≤ 1000","[
  {
    ""input"": ""A = 15, B = 16"",
    ""output"": ""Valid"",
    ""explanation"": ""GCD(15, 16) = 1, so they are coprime.""
  },
  {
    ""input"": ""A = 12, B = 18"",
    ""output"": ""Invalid"",
    ""explanation"": ""GCD(12, 18) = 6 ≠ 1.""
  }
]",Moderate,
21,Festival Firework Timing,"A firework is launched at time N, if N equals the sum of its own digits each raised to the power of the number of digits. Check if a firework is launched at time N.",1 ≤ N ≤ 1000,"[
  {
    ""input"": ""153"",
    ""output"": ""Valid"",
    ""explanation"": ""Sum of cubes: 1³ + 5³ + 3³ = 153.""
  },
  {
    ""input"": ""123"",
    ""output"": ""Invalid"",
    ""explanation"": ""1³ + 2³ + 3³ = 36 ≠ 123.""
  }
]",Moderate,
22,Voting System Check,A voting system assigns voter IDs that are valid if the ID is divisible of the least common multiple (LCM) of its non-zero digits. Check if a given ID is valid.,1 ≤ N ≤ 1000,"[
  {
    ""input"": ""6"",
    ""output"": ""Valid"",
    ""explanation"": ""LCM(6) = 6 → 6 % 6 = 0.""
  },
  {
    ""input"": ""123"",
    ""output"": ""Invalid"",
    ""explanation"": ""LCM(1, 2, 3) = 6 → 123 % 6 = 3 ≠ 0.""
  }
]",Moderate,
23,Traffic Signal Timer,A traffic signal changes at intervals where each interval is the sum of the digits of the previous interval plus the previous interval itself (starting with 1). Check if the signal changes at a given interval.,1 ≤ N ≤ 1000,"[
  {
    ""input"": ""8"",
    ""output"": ""Valid"",
    ""explanation"": ""Sequence: 1, 2, 4, 8, 16, …; 8 is in the sequence.""
  },
  {
    ""input"": ""10"",
    ""output"": ""Invalid"",
    ""explanation"": ""10 is not in the sequence.""
  }
]",Moderate,
24,Hotel Room Allocation,A hotel assigns room numbers that are valid if the number equals the sum of the digits of its square. Check if a given room number is valid.,1 ≤ N ≤ 100,"[
  {
    ""input"": ""9"",
    ""output"": ""Valid"",
    ""explanation"": ""Square: 81; Sum of digits = 8 + 1 = 9.""
  },
  {
    ""input"": ""13"",
    ""output"": ""Invalid"",
    ""explanation"": ""Square: 169; Sum of digits = 1 + 6 + 9 = 16 ≠ 13.""
  }
]",Moderate,
25,Exam Score Validation,"An exam score is valid if it can be expressed as the product of two numbers, both having the same number of divisors. Check if a given score is valid.",1 ≤ N ≤ 10000,"[
  {
    ""input"": ""6"",
    ""output"": ""Valid"",
    ""explanation"": ""6 = 2 × 3; 2 and 3 both have 2 divisors (1, 2) and (1, 3).""
  },
  {
    ""input"": ""7"",
    ""output"": ""Invalid"",
    ""explanation"": ""7 cannot be expressed as a product of two numbers with the same number of divisors.""
  }
]",Moderate,
26,Hollow Pyramid Pattern,Print a hollow pyramid pattern of * for a given number of rows.,1≤N≤50,"[
  {
    ""input"": ""4"",
    ""output"": ""*   \n * *  \n*   * \n*******"",
    ""explanation"": ""The pattern forms a hollow pyramid with 4 rows.""
  },
  {
    ""input"": ""2"",
    ""output"": ""* \n***"",
    ""explanation"": ""The pattern forms a hollow pyramid with 2 rows.""
  }
]",Moderate,
27,Library Fine Calculation,"Given an integer N, print a diamond pattern of numbers. The pattern first increases to the middle row and then decreases symmetrically.",1 ≤ N ≤ 20,"[
  {
    ""input"": ""5"",
    ""output"": ""    1\n   121\n  12321\n 1234321\n123454321\n 1234321\n  12321\n   121\n    1"",
    ""explanation"": ""The pattern forms a diamond with 5 as the peak number.""
  }
]",Moderate,
28,Train Coach Numbering,"A train assigns coach numbers that are considered valid if the coach number is a perfect number. 
A perfect number is a positive integer that is equal to the sum of its proper divisors (all divisors excluding the number itself).
 Given a coach number N, check whether it is valid.",1 ≤ N ≤ 1000,"[
  {
    ""input"": ""28"",
    ""output"": ""Valid"",
    ""explanation"": ""Proper divisors of 28 are 1, 2, 4, 7, 14. Their sum is 28, which equals the coach number, so it is valid.""
  },
  {
    ""input"": ""12"",
    ""output"": ""Invalid"",
    ""explanation"": ""Proper divisors of 12 are 1, 2, 3, 4, 6. Their sum is 16, which is not equal to 12, so it is invalid.""
  }
]",Moderate,
29,Game Tournament Points,"In a tournament, points are valid if they can be expressed as the sum of two prime numbers. Check if a given point total N is valid.",1 ≤ N ≤ 100,"[
  {
    ""input"": ""10"",
    ""output"": ""Valid"",
    ""explanation"": ""10 = 3 + 7; both 3 and 7 are primes.""
  },
  {
    ""input"": ""11"",
    ""output"": ""Invalid"",
    ""explanation"": ""11 cannot be expressed as sum of two primes.""
  }
]",Moderate,
30,Factory Production Code,"A factory assigns production codes that are valid if the code equals the product of: 
The sum of its digits, and 
The number of its divisors (excluding 1 and itself). 
Given a production code N, check if it is valid.",1 ≤ N ≤ 1000,"[
  {
    ""input"": ""12"",
    ""output"": ""Valid"",
    ""explanation"": ""Sum of digits = 1 + 2 = 3; Divisors excluding 1 and 12: 2, 3, 4, 6, → count = 4; Product = 3 × 4 = 12 = 12 → Invalid""
  },
  {
    ""input"": ""15"",
    ""output"": ""Invalid"",
    ""explanation"": ""Sum of digits = 1 + 5 = 6; Divisors excluding 1 and 15: 3, 5 → count = 2; Product = 6 × 2 = 12 ≠ 15.""
  }
]",Moderate,
31,Event Attendance Tracker,"A small community organizes daily events, and they track attendance using a list of attendee IDs. To ensure fairness, they want to find out if any attendee has attended more than one event on the same day. Determine if there are any duplicate IDs in the attendance list.",Number of attendees: 1 ≤ n ≤ 10^5; Attendee IDs: 0 ≤ ID ≤ 10^6,"[
  {
    ""input"": ""[1, 2, 3, 1]"",
    ""output"": ""Yes"",
    ""explanation"": ""The ID 1 appears twice, indicating that someone attended more than one event on the same day.""
  },
  {
    ""input"": ""[4, 5, 6]"",
    ""output"": ""No"",
    ""explanation"": ""All IDs are unique, so no one attended multiple events.""
  }
]",Easy,
32,Market Stall Profits,"A vendor at a weekly market sets up stalls and records daily profits. To plan for expansion, they want to find the maximum profit they can earn over any consecutive 3-day period. Compute the highest sum of profits for any 3 consecutive days.",Number of days: 3 ≤ n ≤ 10^5; Daily profits: -10^4 ≤ profit ≤ 10^4,"[
  {
    ""input"": ""[10, 20, 30, 5, 15]"",
    ""output"": ""60"",
    ""explanation"": ""The 3-day period with the highest profit is days 1-3 (10 + 20 + 30 = 60).""
  },
  {
    ""input"": ""[5, 5, 5, 5]"",
    ""output"": ""15"",
    ""explanation"": ""Any 3 consecutive days give 5 + 5 + 5 = 15.""
  }
]",Easy,
33,Library Book Sorting,"A librarian is organizing books on a shelf, each with a unique ID. To make it easier for readers, they want to check if two books with specific IDs are present on the shelf. Given a list of book IDs and two target IDs, determine if both targets exist.",Number of books: 1 ≤ n ≤ 10^5; Book IDs: 1 ≤ ID ≤ 10^6,"[
  {
    ""input"": ""Book IDs = [3, 1, 4, 2], Target IDs = [1, 4]"",
    ""output"": ""Yes"",
    ""explanation"": ""Both book IDs 1 and 4 are present in the list.""
  },
  {
    ""input"": ""Book IDs = [5, 6, 7], Target IDs = [5, 8]"",
    ""output"": ""No"",
    ""explanation"": ""Book ID 5 is present, but ID 8 is not.""
  }
]",Easy,
34,Reverse Order Delivery,"A delivery company logs packages by their delivery order, but the manager wants to process them in reverse order to prioritize newer orders. Given a list of package weights, compute the total weight of the last 3 packages delivered.",Number of packages: 3 ≤ n ≤ 10^5; Package weights: 1 ≤ weight ≤ 10^4,"[
  {
    ""input"": ""[10, 20, 30, 40, 50]"",
    ""output"": ""120"",
    ""explanation"": ""The last 3 packages have weights 30, 40, and 50, so total = 30 + 40 + 50 = 120.""
  },
  {
    ""input"": ""[5, 10, 15]"",
    ""output"": ""30"",
    ""explanation"": ""The last 3 packages are 5, 10, and 15, so total = 5 + 10 + 15 = 30.""
  }
]",Easy,
35,Festival Stall Arrangement,"During a festival, stalls are set up along a street, each with a unique height. To improve visibility, the organizer wants to arrange them in increasing order of height. Given the heights, determine if the stalls are already in increasing order.",Number of stalls: 1 ≤ n ≤ 10^5; Heights: 1 ≤ height ≤ 10^6,"[
  {
    ""input"": ""[1, 2, 3, 4]"",
    ""output"": ""Yes"",
    ""explanation"": ""The heights are already in increasing order (1 < 2 < 3 < 4).""
  },
  {
    ""input"": ""[1, 3, 2, 4]"",
    ""output"": ""No"",
    ""explanation"": ""The height 3 is greater than 2, which breaks the increasing order.""
  }
]",Easy,
36,Ticket Sales Forecast,"A concert organizer records daily ticket sales and wants to quickly answer queries about total sales between specific days. Given a list of daily sales and a range of days, compute the total sales for that range.",Number of days: 1 ≤ n ≤ 10^5; Sales per day: 0 ≤ sales ≤ 10^4; Query range: 1 ≤ start ≤ end ≤ n,"[
  {
    ""input"": ""Sales = [10, 20, 30, 40], Range = [2, 4]"",
    ""output"": ""90"",
    ""explanation"": ""Sales for days 2 to 4 are 20 + 30 + 40 = 90.""
  },
  {
    ""input"": ""Sales = [5, 5, 5], Range = [1, 3]"",
    ""output"": ""15"",
    ""explanation"": ""Sales for days 1 to 3 are 5 + 5 + 5 = 15.""
  }
]",Easy,
37,Inventory Mapping,"A warehouse stores items in numbered slots, and each slot contains an item with a specific ID. To optimize retrieval, the manager wants to find the slot number for a given item ID. Given a list of item IDs, find the slot (index) of a target ID.",Number of slots: 1 ≤ n ≤ 10^5; Item IDs: 0 ≤ ID ≤ 10^6,"[
  {
    ""input"": ""Item IDs = [5, 2, 8, 1], Target ID = 8"",
    ""output"": ""2"",
    ""explanation"": ""The item with ID 8 is in slot 2 (0-based indexing).""
  },
  {
    ""input"": ""Item IDs = [10, 20, 30], Target ID = 40"",
    ""output"": ""-1"",
    ""explanation"": ""The item with ID 40 is not in any slot.""
  }
]",Easy,
38,Customer Feedback Analysis,A store collects daily customer feedback scores and wants to identify days with unusually high or low scores. Compute the average score and then count how many days have scores above the average.,Number of days: 1 ≤ n ≤ 10^5; Scores: 0 ≤ score ≤ 100,"[
  {
    ""input"": ""[10, 20, 30, 40]"",
    ""output"": ""2"",
    ""explanation"": ""Average = (10 + 20 + 30 + 40) / 4 = 25. Scores 30 and 40 are above 25, so count = 2.""
  },
  {
    ""input"": ""[50, 50, 50]"",
    ""output"": ""0"",
    ""explanation"": ""Average = 50. No scores are strictly above 50, so count = 0.""
  }
]",Easy,
39,Message Decoder,"A spy receives a coded message as a sequence of letters and needs to verify its authenticity by checking if any letter appears exactly 3 times. Given the message, determine if such a letter exists.",Message length: 1 ≤ n ≤ 10^5; Message contains only lowercase letters (a-z).,"[
  {
    ""input"": ""helllo"",
    ""output"": ""Yes"",
    ""explanation"": ""The letter 'l' appears exactly 3 times.""
  },
  {
    ""input"": ""world"",
    ""output"": ""No"",
    ""explanation"": ""No letter appears exactly 3 times.""
  }
]",Easy,
40,Secret Code Verification,"A club uses a secret code for entry, where the code must contain only unique letters. Given a code, check if all its letters are distinct.",Code length: 1 ≤ n ≤ 10^5; Code contains only lowercase letters (a-z).,"[
  {
    ""input"": ""abc"",
    ""output"": ""Yes"",
    ""explanation"": ""All letters (a, b, c) are distinct.""
  },
  {
    ""input"": ""deed"",
    ""output"": ""No"",
    ""explanation"": ""The letter 'e' appears twice, so the letters are not all distinct.""
  }
]",Easy,
41,Pen Pal Messages,"Two pen pals exchange messages, but to keep them secret, they rearrange the letters. Given two messages, check if one is a rearrangement of the other.",Message length: 1 ≤ n ≤ 10^5; Messages contain only lowercase letters (a-z).,"[
  {
    ""input"": ""Message1 = listen, Message2 = silent"",
    ""output"": ""Yes"",
    ""explanation"": ""listen and silent contain the same letters with the same frequencies.""
  },
  {
    ""input"": ""Message1 = hello, Message2 = world"",
    ""output"": ""No"",
    ""explanation"": ""The letters in hello and world are different.""
  }
]",Easy,
42,Mirror Message Check,"A child writes a message that reads the same forwards and backwards to confuse their friend. Given a message, check if it is the same when reversed.",Message length: 1 ≤ n ≤ 10^5; Message contains only lowercase letters (a-z).,"[
  {
    ""input"": ""racecar"",
    ""output"": ""Yes"",
    ""explanation"": ""racecar reads the same forwards and backwards.""
  },
  {
    ""input"": ""hello"",
    ""output"": ""No"",
    ""explanation"": ""hello reversed is olleh, which is different.""
  }
]",Easy,
43,Lost Ticket Number,"A concert organizer issues tickets numbered from 0 to n, where n is the total number of tickets sold. However, one ticket number is missing due to a printing error, and they need to identify it to reissue the ticket. Given a list of ticket numbers (from 0 to n, with one number missing), find the missing ticket number.",Number of tickets: 1 ≤ n ≤ 10^5; Ticket numbers: 0 ≤ number ≤ n; Exactly one number from 0 to n is missing.,"[
  {
    ""input"": ""[0, 1, 3]"",
    ""output"": ""2"",
    ""explanation"": ""The tickets are numbered from 0 to 3 (n = 3). The numbers present are [0, 1, 3], so the missing number is 2.""
  },
  {
    ""input"": ""[0, 1]"",
    ""output"": ""2"",
    ""explanation"": ""The tickets are numbered from 0 to 2 (n = 2). The numbers present are [0, 1], so the missing number is 2.""
  }
]",Easy,
44,Job Application Sorting,"A company receives job applications with unique scores and wants to hire the applicant with the k-th highest score. Given a list of scores and a position k, find the k-th highest score.",Number of applicants: 1 ≤ n ≤ 10^5; Scores: 1 ≤ score ≤ 10^6; 1 ≤ k ≤ n,"[
  {
    ""input"": ""Scores = [50, 30, 70, 20], k = 2"",
    ""output"": ""50"",
    ""explanation"": ""Sorted scores in descending order: [70, 50, 30, 20]. The 2nd highest is 50.""
  },
  {
    ""input"": ""Scores = [10, 20, 30], k = 1"",
    ""output"": ""30"",
    ""explanation"": ""The highest score is 30.""
  }
]",Easy,
45,Treasure Map Decoding,"An adventurer finds a treasure map represented as a grid of numbers, where each number indicates a clue’s value. To decode it, they need to find the sum of all clue values in a specific row. Given the grid and a row number, compute the sum.","Grid size: 1 ≤ rows, cols ≤ 100; Clue values: 0 ≤ value ≤ 10^4; Row number: 1 ≤ row ≤ rows","[
  {
    ""input"": ""Grid = [[1, 2], [3, 4]], Row = 2"",
    ""output"": ""7"",
    ""explanation"": ""Row 2 has values [3, 4], so sum = 3 + 4 = 7.""
  },
  {
    ""input"": ""Grid = [[5, 5], [10, 10]], Row = 1"",
    ""output"": ""10"",
    ""explanation"": ""Row 1 has values [5, 5], so sum = 5 + 5 = 10.""
  }
]",Easy,
46,Ticket Queue Management,"At a ticket counter, customers arrive and are served in the order they arrive. Given a list of customer names in the order they arrive, determine the name of the customer served after k customers are processed.",Number of customers: 1 ≤ n ≤ 10^5; 1 ≤ k ≤ n; Names are strings of lowercase letters (1 ≤ length ≤ 10).,"[
  {
    ""input"": ""Names = [alice, bob, charlie], k = 2"",
    ""output"": ""charlie"",
    ""explanation"": ""After serving alice and bob (2 customers), charlie is served next.""
  },
  {
    ""input"": ""Names = [john, doe], k = 1"",
    ""output"": ""doe"",
    ""explanation"": ""After serving john, doe is served next.""
  }
]",Easy,
47,Library Book Finder,"A librarian organizes books on a shelf in increasing order of their unique ID numbers. To help a reader locate a specific book, the librarian needs to find the position of a book with a given ID. Given a list of book IDs in increasing order and a target ID, return the position of the book (or -1 if it’s not on the shelf).",Number of books: 1 ≤ n ≤ 10^4; Book IDs: -10^9 ≤ ID ≤ 10^9; Book IDs are in strictly increasing order; Target ID: -10^9 ≤ target ≤ 10^9,"[
  {
    ""input"": ""Book IDs = [100, 200, 300, 400], Target ID = 300"",
    ""output"": ""2"",
    ""explanation"": ""The book with ID 300 is at position 2 (0-based indexing) in the list [100, 200, 300, 400].""
  },
  {
    ""input"": ""Book IDs = [10, 20, 30, 40], Target ID = 50"",
    ""output"": ""-1"",
    ""explanation"": ""The book with ID 50 is not in the list [10, 20, 30, 40].""
  }
]",Easy,
48,Meeting Scheduler,"A manager schedules meetings, each with a start and end time. To avoid conflicts, they need to check if any two meetings overlap. Given a list of meeting time intervals, determine if any overlap exists.",Number of meetings: 1 ≤ n ≤ 10^5; Start and end times: 0 ≤ time ≤ 10^6,"[
  {
    ""input"": ""Intervals = [[1, 3], [2, 4]]"",
    ""output"": ""Yes"",
    ""explanation"": ""The meeting from 1-3 overlaps with 2-4 (at time 2-3).""
  },
  {
    ""input"": ""Intervals = [[1, 2], [3, 4]]"",
    ""output"": ""No"",
    ""explanation"": ""The meetings do not overlap (1-2 ends before 3-4 starts).""
  }
]",Easy,
49,Fruit Basket Check,"You have a basket of fruits represented by an array where each number corresponds to a type of fruit. You want to check if the basket contains at least one of each fruit type from 1 to N (where N is the total number of fruit types). 
Given the basket array and the total number of fruit types, determine if the basket is complete (contains all fruit types at least once).",1 ≤ N ≤ 100; 1 ≤ length of basket ≤ 1000; Fruit types are integers from 1 to N,"[
  {
    ""input"": ""N = 3, Basket = [1, 2, 3, 2, 1]"",
    ""output"": ""Complete"",
    ""explanation"": ""All fruit types 1, 2, and 3 are present.""
  },
  {
    ""input"": ""N = 4, Basket = [1, 2, 2, 3]"",
    ""output"": ""Incomplete"",
    ""explanation"": ""Fruit type 4 is missing.""
  }
]",Easy,
50,Event Seating Arrangement,"An event organizer assigns seats numbered in a random order and wants to find the smallest seat number assigned. Given a list of seat numbers, find the minimum number.",Number of seats: 1 ≤ n ≤ 10^5; Seat numbers: 1 ≤ number ≤ 10^6,"[
  {
    ""input"": ""[5, 2, 8, 1]"",
    ""output"": ""1"",
    ""explanation"": ""The smallest seat number is 1.""
  },
  {
    ""input"": ""[10, 20, 30]"",
    ""output"": ""10"",
    ""explanation"": ""The smallest seat number is 10.""
  }
]",Easy,
